regime,case_type,subset_seed,graph_id,candidate_label,true_obj,objective_gap_from_opt,normalized_gap_from_opt,rank_true_obj,edge_count,edge_jaccard_with_opt,edge_jaccard_with_2stage,edge_jaccard_with_spoplus,same_as_opt,same_as_2stage,same_as_spoplus
step2b_poly_d8,large_improvement,1,G-1125.json,y_spoplus,125.02870154380798,0.0,0.0,1,11,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1127.json,y_opt,164.32180082798004,0.0,0.0,1,12,1.0,0.3,0.3,True,False,False
step2b_poly_d8,large_improvement,1,G-1127.json,y_2stage,137.08610129356384,27.2356995344162,0.1657461115760765,2,14,0.3,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1127.json,y_spoplus,137.08610129356384,27.2356995344162,0.1657461115760765,2,14,0.3,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1130.json,y_opt,162.11510181427002,0.0,0.0,1,11,1.0,0.3888888888888889,0.5,True,False,False
step2b_poly_d8,large_improvement,1,G-1130.json,y_2stage,152.61090177297592,9.504200041294098,0.058626247246124856,3,14,0.3888888888888889,1.0,0.6875,False,True,False
step2b_poly_d8,large_improvement,1,G-1130.json,y_spoplus,155.81630158424377,6.298800230026245,0.03885387702647576,2,13,0.5,0.6875,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1133.json,y_opt,176.7991001009941,0.0,0.0,1,14,1.0,0.25,0.2,True,False,False
step2b_poly_d8,large_improvement,1,G-1133.json,y_2stage,168.81979930400848,7.979300796985626,0.04513202155682669,2,16,0.25,1.0,0.7777777777777778,False,True,False
step2b_poly_d8,large_improvement,1,G-1133.json,y_spoplus,167.38519847393036,9.413901627063751,0.05324632094669139,3,16,0.2,0.7777777777777778,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1134.json,y_opt,266.82369792461395,0.0,0.0,1,18,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1134.json,y_2stage,266.82369792461395,0.0,0.0,1,18,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1134.json,y_spoplus,266.82369792461395,0.0,0.0,1,18,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1138.json,y_opt,165.8506999015808,0.0,0.0,1,15,1.0,0.5789473684210527,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1138.json,y_2stage,158.60119938850403,7.249500513076782,0.043711003434889234,2,15,0.5789473684210527,1.0,0.5789473684210527,False,True,False
step2b_poly_d8,large_improvement,1,G-1138.json,y_spoplus,165.8506999015808,0.0,0.0,1,15,1.0,0.5789473684210527,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-114.json,y_opt,206.32249981164932,0.0,0.0,1,16,1.0,0.4,0.4,True,False,False
step2b_poly_d8,large_improvement,1,G-114.json,y_2stage,201.22789996862411,5.0945998430252075,0.024692410414162487,2,19,0.4,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-114.json,y_spoplus,201.22789996862411,5.0945998430252075,0.024692410414162487,2,19,0.4,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1140.json,y_opt,105.45829856395721,0.0,0.0,1,12,1.0,0.8461538461538461,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1140.json,y_2stage,102.48039853572845,2.9779000282287598,0.02823770218919998,2,12,0.8461538461538461,1.0,0.8461538461538461,False,True,False
step2b_poly_d8,large_improvement,1,G-1140.json,y_spoplus,105.45829856395721,0.0,0.0,1,12,1.0,0.8461538461538461,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1149.json,y_opt,203.37629725039005,0.0,0.0,1,15,1.0,0.5,0.5,True,False,False
step2b_poly_d8,large_improvement,1,G-1149.json,y_2stage,191.448197260499,11.928099989891052,0.05865039412732339,2,18,0.5,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1149.json,y_spoplus,191.448197260499,11.928099989891052,0.05865039412732339,2,18,0.5,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-116.json,y_opt,337.88300067186356,0.0,0.0,1,23,1.0,0.4,0.4,True,False,False
step2b_poly_d8,large_improvement,1,G-116.json,y_2stage,308.1806013584137,29.70239931344986,0.08790735033839558,2,26,0.4,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-116.json,y_spoplus,308.1806013584137,29.70239931344986,0.08790735033839558,2,26,0.4,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1161.json,y_opt,192.21509850025177,0.0,0.0,1,19,1.0,0.6521739130434783,0.5833333333333334,True,False,False
step2b_poly_d8,large_improvement,1,G-1161.json,y_2stage,187.63649839162827,4.578600108623505,0.02382018969554313,2,19,0.6521739130434783,1.0,0.46153846153846156,False,True,False
