regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,num_edges,num_top_error_edges,mse_all_edges,mse_edges_in_opt,mse_edges_in_pred,mse_edges_in_symdiff,mse_edges_not_selected,top10_error_edges_in_opt_rate,top10_error_edges_in_pred_rate,top10_error_edges_in_symdiff_rate
step2b_poly_d8,large_improvement,1,G-1699.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,281,10,21.749023888319286,40.13061835093794,35.67898618027235,22.870759688537756,20.658408976632582,0.3,0.3,0.2
step2b_poly_d8,large_improvement,1,G-832.json,2stage_val_mse,2stage,validation_mse_loss,148,10,17.83730701933456,91.69770348548157,91.69770348548157,nan,14.170478825979743,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-832.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,148,10,24.890248642342623,66.73761434795709,66.73761434795709,nan,22.812719848446875,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-340.json,2stage_val_mse,2stage,validation_mse_loss,270,10,17.38896869275699,69.67573666271403,47.23366323225334,31.347972091676468,13.876239653826433,0.5,0.2,0.3
step2b_poly_d8,large_improvement,1,G-340.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,270,10,26.194549503792533,48.13221141425987,37.04647804433244,27.174671086211372,24.966629579447385,0.5,0.2,0.3
step2b_poly_d8,large_improvement,1,G-484.json,2stage_val_mse,2stage,validation_mse_loss,228,10,13.45163077329504,30.72046294010926,24.391404048506594,47.79520332946054,12.178882970986763,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-484.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,228,10,19.66578856380122,16.62049279353562,15.89363494958909,29.7527373994007,19.845345549286012,0.2,0.1,0.1
step2b_poly_d8,large_improvement,1,G-1543.json,2stage_val_mse,2stage,validation_mse_loss,207,10,14.891175170656028,55.64308584022758,36.857220508683525,45.899779680102185,12.47027793113403,0.4,0.3,0.1
step2b_poly_d8,large_improvement,1,G-1543.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,207,10,23.006709722928203,33.92209594734627,27.336649479360123,37.251387142570096,22.333539830676017,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-1980.json,2stage_val_mse,2stage,validation_mse_loss,260,10,10.109693121735733,48.75263059091976,42.76261593955309,10.02649132074398,7.65647581796813,0.4,0.3,0.1
step2b_poly_d8,large_improvement,1,G-1980.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,260,10,18.03482954337151,35.79984150189176,33.21942945418816,22.14214261391065,16.685133190818473,0.2,0.2,0.2
step2b_poly_d8,large_improvement,1,G-30.json,2stage_val_mse,2stage,validation_mse_loss,198,10,12.45104950567699,27.185131969671914,27.185131969671914,nan,11.990609428677152,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-30.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,198,10,20.212572713989562,32.828069893213545,32.828069893213545,nan,19.818338427138812,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-1107.json,2stage_val_mse,2stage,validation_mse_loss,298,10,16.041768281813777,21.663827555135484,19.54461396807316,9.636439342785907,15.88146353332318,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-1107.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,298,10,23.053383386747768,19.251484709457316,21.537658662683164,19.554635899508003,23.29047710476002,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-1335.json,2stage_val_mse,2stage,validation_mse_loss,280,10,18.04566645172669,98.1234483292717,93.5488300563309,2.295069318809714,12.284490126694472,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-1335.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,280,10,24.763801317197846,77.84525540432088,77.84525540432088,nan,20.899634161430267,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-103.json,2stage_val_mse,2stage,validation_mse_loss,221,10,15.7753619086374,69.49036769813885,46.01901035472928,34.50589390419125,11.782828832214912,0.4,0.2,0.2
step2b_poly_d8,large_improvement,1,G-103.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,221,10,22.32882629548409,50.47892829993891,38.39668572210808,31.05234534482333,20.277530554934703,0.4,0.2,0.2
step2b_poly_d8,large_improvement,1,G-200.json,2stage_val_mse,2stage,validation_mse_loss,201,10,13.879593295799332,31.398743919544774,18.87003107472628,35.976558335021586,12.287448389116998,0.2,0.2,0.4
step2b_poly_d8,large_improvement,1,G-200.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,201,10,22.32309117119517,27.70193239655642,24.89160447136653,38.180994422957866,21.600191633836513,0.1,0.0,0.1
step2b_poly_d8,large_improvement,1,G-1127.json,2stage_val_mse,2stage,validation_mse_loss,237,10,15.196628822578623,42.824451662773775,12.515080222305967,43.22493840165043,13.615088435976022,0.2,0.0,0.2
step2b_poly_d8,large_improvement,1,G-1127.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,237,10,24.05445831559998,32.8136637963472,18.489201039850304,34.52723412241126,23.653961252918347,0.3,0.1,0.2
