regime,graph_id,subset_seed,comparison,left_role,right_role,edge_id,src,dst,edge_in_left,edge_in_right,edge_in_2stage_rank1,edge_in_best_2stage_near_oracle,edge_in_spoplus_rank1,edge_in_oracle,edge_in_oracle_vs_left_symdiff,edge_in_oracle_vs_right_symdiff,true_weight,pred_2stage,pred_spoplus,error_2stage,error_spoplus,delta_prediction_spoplus_minus_2stage,signed_true_value_delta_right_minus_left,signed_pred_2stage_delta_right_minus_left,signed_pred_spoplus_delta_right_minus_left
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,24,4,2,True,False,True,False,False,False,True,False,17.428300857543945,12.111060892976326,14.823726969350114,-5.317239964567619,-2.6045738881938316,2.7126660763737878,-17.428300857543945,-12.111060892976326,-14.823726969350114
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,33,6,3,False,True,False,True,True,True,True,False,1.2585999965667725,3.61376800376585,5.707144646368888,2.3551680071990777,4.448544649802115,2.0933766426030376,1.2585999965667725,3.61376800376585,5.707144646368888
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,34,6,4,True,False,True,False,False,False,True,False,18.63719940185547,12.67789366268469,16.388898547150156,-5.959305739170778,-2.248300854705313,3.7110048844654653,-18.63719940185547,-12.67789366268469,-16.388898547150156
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,60,9,11,True,False,True,False,False,False,True,False,3.2748000621795654,5.822181384961,9.194843522534475,2.547381322781434,5.9200434603549095,3.3726621375734753,-3.2748000621795654,-5.822181384961,-9.194843522534475
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,61,9,18,False,True,False,True,True,True,True,False,52.295101165771484,16.896663473077176,20.161917538188593,-35.39843769269431,-32.133183627582895,3.2652540651114172,52.295101165771484,16.896663473077176,20.161917538188593
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,77,11,39,True,False,True,False,False,False,True,False,12.09280014038086,10.64589652964358,12.958645281353023,-1.4469036107372801,0.8658451409721639,2.312748751709444,-12.09280014038086,-10.64589652964358,-12.958645281353023
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,108,15,30,False,True,False,True,True,True,True,False,15.07699966430664,11.295352114318877,15.871586806635895,-3.7816475499877633,0.7945871423292541,4.576234692317017,15.07699966430664,11.295352114318877,15.871586806635895
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,144,20,26,True,False,True,False,False,False,True,False,0.5489000082015991,2.4924668637896024,3.5489249495240163,1.9435668555880032,3.000024941322417,1.056458085734414,-0.5489000082015991,-2.4924668637896024,-3.5489249495240163
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,159,23,0,True,False,True,False,False,False,True,False,17.475799560546875,13.398261387352326,14.063551371889965,-4.077538173194549,-3.4122481886569105,0.6652899845376385,-17.475799560546875,-13.398261387352326,-14.063551371889965
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,162,23,15,False,True,False,True,True,True,True,False,5.839099884033203,6.5248583970833645,10.304565935174576,0.6857585130501613,4.465466051141373,3.7797075380912117,5.839099884033203,6.5248583970833645,10.304565935174576
