regime,method_label,case_type,subset_seed,graph_id,baseline_max_cycle,comparison_max_cycle,baseline_rank2_gap_to_oracle,comparison_rank2_gap_to_oracle,delta_rank2_gap_to_oracle,baseline_rank2_normalized_gap,comparison_rank2_normalized_gap,delta_rank2_normalized_gap,baseline_rank2_same_oracle,comparison_rank2_same_oracle,baseline_num_cycle_candidates,comparison_num_cycle_candidates
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-646.json,3,5,24.203699946403503,24.203699946403503,0.0,0.14049928949619428,0.14049928949619428,0.0,False,False,nan,6.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-65.json,3,5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,nan,1.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-663.json,3,5,3.298100918531418,11.521598517894745,8.223497599363327,0.01079523883932919,0.03504622936814971,0.024250990528820522,False,False,nan,129.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-664.json,3,5,0.11770153045654297,14.826400995254517,14.708699464797974,0.0007328351162091721,0.09053439052123421,0.08980155540502505,False,False,nan,52.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-676.json,3,5,2.734099507331848,41.350001368671656,38.61590186133981,0.008901222436987623,0.11330179779698302,0.10440057535999539,False,False,nan,679.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-689.json,3,5,19.513596534729004,4.389801323413849,-15.123795211315155,0.1032802061132945,0.021532936573439108,-0.0817472695398554,False,False,nan,68.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-692.json,3,5,11.403300285339355,6.389800548553467,-5.013499736785889,0.0471557411303349,0.0250841487363259,-0.022071592394008997,False,False,nan,28.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-694.json,3,5,11.693401098251343,2.629999876022339,-9.063401222229004,0.0543993225608133,0.011685714900619081,-0.04271360766019422,False,False,nan,158.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-696.json,3,5,8.211797952651978,5.41700005531311,-2.794797897338867,0.037509657399724734,0.023815124212431784,-0.01369453318729295,False,False,nan,27.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-704.json,3,5,15.955100774765015,3.7217992544174194,-12.233301520347595,0.05884642144275321,0.012657579621138278,-0.04618884182161494,False,False,nan,268.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-725.json,3,5,1.9049005508422852,4.8970993757247925,2.9921988248825073,0.008792878174642603,0.021629820056280464,0.012836941881637861,False,False,nan,64.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-727.json,3,5,2.7270984649658203,8.760199427604675,6.033100962638855,0.020812175654990894,0.05088086652470774,0.030068690869716846,False,False,nan,12.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-735.json,3,5,2.391901195049286,9.54989966750145,7.157998472452164,0.014210363401198592,0.050206556209572956,0.035996192808374364,False,False,nan,80.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-740.json,3,5,25.671897888183594,18.044601529836655,-7.627296358346939,0.17363639775750908,0.11112720100795659,-0.06250919674955249,False,False,nan,13.0
