job_id,topology_id,data_seed,sample_size,training_size,validation_size,method,selected_epoch,selection_metric,selection_value,test_mean_decision_gap,test_mean_normalized_gap,best_epoch,stop_epoch,stopped_early,hit_max_epoch,best_value,max_epochs
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=100|train=080,G-124,104,100,80,20,2stage,721,validation_mse_loss,19.733940109338757,12.112239330291748,0.12268647482774395,721,741,True,False,19.733940109338757,3000
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=100|train=080,G-124,104,100,80,20,spoplus,119,validation_spoplus_loss,26.443643782518745,12.56404543685913,0.127249366847492,118,138,True,False,26.443681402957584,3000
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=500|train=400,G-124,104,500,400,100,2stage,807,validation_mse_loss,18.057965690023323,12.112239330291748,0.12268647482774395,807,827,True,False,18.057965690023323,3000
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=500|train=400,G-124,104,500,400,100,spoplus,163,validation_spoplus_loss,23.29284312508447,12.56404543685913,0.127249366847492,162,182,True,False,23.29285344873212,3000
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=050|train=040,G-124,105,50,40,10,2stage,702,validation_mse_loss,17.348191365425098,12.112239330291748,0.12268647482774395,702,722,True,False,17.348191365425098,3000
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=050|train=040,G-124,105,50,40,10,spoplus,107,validation_spoplus_loss,22.368453827610715,12.493243793487549,0.12652532250518667,107,127,True,False,22.36845382761071,3000
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=100|train=080,G-124,105,100,80,20,2stage,752,validation_mse_loss,17.135266245748582,12.112239330291748,0.12268647482774395,752,772,True,False,17.135266245748582,3000
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=100|train=080,G-124,105,100,80,20,spoplus,154,validation_spoplus_loss,23.94246262050395,12.493243793487549,0.12652532250518667,158,178,True,False,23.942453059519433,3000
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=500|train=400,G-124,105,500,400,100,2stage,890,validation_mse_loss,17.523618361994014,12.112239330291748,0.12268647482774395,890,910,True,False,17.523618361994014,3000
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=500|train=400,G-124,105,500,400,100,spoplus,163,validation_spoplus_loss,22.770559348023436,12.544763332366943,0.1270666383750665,162,182,True,False,22.770513057715995,3000
G-206|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-206,101,50,40,10,2stage,309,validation_mse_loss,21.085189554079623,4.243957996368408,0.11963284490858038,309,329,True,False,21.085189554079623,3000
G-206|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-206,101,50,40,10,spoplus,259,validation_spoplus_loss,14.049523462668592,5.518719467163086,0.15309740646334893,259,279,True,False,14.049523462668592,3000
G-206|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-206,101,100,80,20,2stage,559,validation_mse_loss,22.221201899740798,4.211773422241211,0.11865880328558341,559,579,True,False,22.221201899740798,3000
G-206|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-206,101,100,80,20,spoplus,384,validation_spoplus_loss,12.975626634874851,5.575381467819214,0.15470752820558198,383,403,True,False,12.97566584868564,3000
G-206|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-206,101,500,400,100,2stage,886,validation_mse_loss,21.64857621941741,4.184281820297241,0.11803225353007599,886,906,True,False,21.64857621941741,3000
G-206|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-206,101,500,400,100,spoplus,234,validation_spoplus_loss,14.538115816963217,5.667684766769409,0.157320655318263,220,240,True,False,14.538165369542815,3000
G-206|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-206,102,50,40,10,2stage,631,validation_mse_loss,27.065749723958966,4.204414720535278,0.11847895977446618,631,651,True,False,27.065749723958966,3000
G-206|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-206,102,50,40,10,spoplus,169,validation_spoplus_loss,15.504147161821223,5.667684766769409,0.157320655318263,169,189,True,False,15.504147161821223,3000
